freq,psd_x,psd_y,psd_z,psd_xyz
0.0,6.390e+02,6.818e+01,1.760e+01,7.248e+02
1.5,2.174e+03,2.391e+02,9.119e+01,2.505e+03
3.0,2.174e+03,2.374e+02,1.049e+02,2.516e+03
4.5,1.993e+03,2.026e+02,9.934e+01,2.295e+03
6.0,1.774e+03,1.724e+02,1.030e+02,2.049e+03
7.5,1.621e+03,1.590e+02,1.100e+02,1.890e+03
9.0,1.697e+03,1.402e+02,1.226e+02,1.960e+03
10.6,1.800e+03,1.313e+02,1.331e+02,2.064e+03
12.1,1.964e+03,1.359e+02,1.626e+02,2.262e+03
13.6,1.851e+03,1.483e+02,1.828e+02,2.182e+03
15.1,1.763e+03,1.554e+02,2.031e+02,2.121e+03
16.6,1.800e+03,1.442e+02,2.054e+02,2.149e+03
18.1,2.042e+03,1.310e+02,2.175e+02,2.391e+03
19.6,1.350e+04,1.220e+02,1.873e+02,1.381e+04
21.1,4.161e+04,1.265e+02,1.743e+02,4.191e+04
22.6,5.310e+04,1.307e+02,2.028e+02,5.344e+04
24.1,6.167e+04,1.249e+02,2.338e+02,6.203e+04
25.6,7.108e+04,1.204e+02,2.231e+02,7.142e+04
27.1,8.333e+04,1.463e+02,2.816e+02,8.376e+04
28.7,1.002e+05,1.632e+02,3.125e+02,1.007e+05
30.2,1.166e+05,1.778e+02,3.301e+02,1.171e+05
31.7,1.349e+05,1.893e+02,2.857e+02,1.354e+05
33.2,1.583e+05,2.076e+02,2.237e+02,1.588e+05
34.7,1.931e+05,3.377e+02,2.061e+02,1.936e+05
36.2,2.430e+05,1.000e+03,1.924e+02,2.442e+05
37.7,2.997e+05,7.172e+03,2.321e+02,3.071e+05
39.2,3.680e+05,3.274e+04,3.378e+02,4.011e+05
40.7,4.199e+05,6.767e+04,5.956e+02,4.881e+05
42.2,4.815e+05,8.667e+04,1.580e+03,5.697e+05
43.7,5.790e+05,1.087e+05,3.749e+03,6.914e+05
45.2,6.682e+05,1.182e+05,6.058e+03,7.924e+05
46.8,7.348e+05,1.094e+05,7.264e+03,8.515e+05
48.3,6.362e+05,7.781e+04,5.543e+03,7.196e+05
49.8,4.321e+05,4.440e+04,2.351e+03,4.789e+05
51.3,2.694e+05,2.310e+04,7.247e+02,2.932e+05
52.8,1.658e+05,1.125e+04,3.425e+02,1.773e+05
54.3,1.034e+05,5.731e+03,2.963e+02,1.094e+05
55.8,6.627e+04,3.395e+03,2.438e+02,6.991e+04
57.3,4.695e+04,3.322e+03,7.260e+02,5.100e+04
58.8,4.078e+04,3.673e+03,1.461e+03,4.591e+04
60.3,3.894e+04,3.747e+03,1.337e+03,4.403e+04
61.8,3.176e+04,4.279e+03,7.494e+02,3.679e+04
63.3,2.134e+04,4.627e+03,4.205e+02,2.639e+04
64.8,1.303e+04,4.485e+03,3.067e+02,1.782e+04
66.4,9.294e+03,4.189e+03,2.544e+02,1.374e+04
67.9,7.413e+03,3.890e+03,2.418e+02,1.154e+04
69.4,6.859e+03,3.429e+03,2.821e+02,1.057e+04
70.9,6.114e+03,3.065e+03,3.645e+02,9.543e+03
72.4,5.562e+03,2.774e+03,3.915e+02,8.727e+03
73.9,6.347e+03,3.028e+03,5.643e+02,9.940e+03
75.4,8.074e+03,3.649e+03,8.530e+02,1.258e+04
76.9,1.112e+04,4.539e+03,1.116e+03,1.678e+04
78.4,1.329e+04,5.385e+03,1.462e+03,2.014e+04
79.9,1.571e+04,5.810e+03,1.778e+03,2.330e+04
81.4,2.003e+04,6.202e+03,2.152e+03,2.839e+04
82.9,2.543e+04,6.797e+03,2.649e+03,3.487e+04
84.5,2.969e+04,7.355e+03,3.195e+03,4.024e+04
86.0,3.189e+04,7.615e+03,3.669e+03,4.318e+04
87.5,3.184e+04,7.769e+03,4.373e+03,4.399e+04
89.0,2.742e+04,6.828e+03,4.461e+03,3.871e+04
90.5,2.266e+04,5.071e+03,3.819e+03,3.155e+04
92.0,2.222e+04,3.503e+03,2.837e+03,2.856e+04
93.5,2.626e+04,2.594e+03,2.070e+03,3.092e+04
95.0,3.158e+04,2.294e+03,1.580e+03,3.545e+04
96.5,3.631e+04,2.161e+03,1.416e+03,3.989e+04
98.0,3.318e+04,1.835e+03,1.261e+03,3.627e+04
99.5,3.112e+04,1.609e+03,1.214e+03,3.394e+04
101.0,3.554e+04,1.462e+03,1.306e+03,3.831e+04
102.5,4.196e+04,1.253e+03,1.286e+03,4.450e+04
104.1,4.927e+04,9.789e+02,1.100e+03,5.135e+04
105.6,5.872e+04,8.301e+02,8.190e+02,6.037e+04
107.1,7.065e+04,9.955e+02,6.164e+02,7.226e+04
108.6,7.978e+04,1.308e+03,5.422e+02,8.163e+04
110.1,8.972e+04,1.752e+03,5.128e+02,9.198e+04
111.6,1.086e+05,2.519e+03,6.047e+02,1.118e+05
113.1,1.349e+05,3.527e+03,9.459e+02,1.393e+05
114.6,1.773e+05,4.901e+03,1.740e+03,1.839e+05
116.1,2.265e+05,6.566e+03,2.858e+03,2.359e+05
117.6,2.615e+05,7.853e+03,3.812e+03,2.732e+05
119.1,2.091e+05,6.359e+03,3.358e+03,2.188e+05
120.6,4.652e+04,1.454e+03,8.916e+02,4.886e+04
122.2,9.627e+03,3.311e+02,3.257e+02,1.028e+04
123.7,9.282e+03,3.066e+02,3.318e+02,9.920e+03
125.2,8.406e+03,3.196e+02,3.294e+02,9.055e+03
126.7,7.456e+03,2.863e+02,3.355e+02,8.078e+03
128.2,6.773e+03,2.728e+02,3.343e+02,7.380e+03
129.7,6.397e+03,2.619e+02,3.550e+02,7.014e+03
131.2,6.291e+03,2.977e+02,4.170e+02,7.006e+03
132.7,6.136e+03,2.946e+02,4.430e+02,6.873e+03
134.2,5.825e+03,3.047e+02,4.704e+02,6.600e+03
135.7,6.759e+03,4.579e+02,5.409e+02,7.758e+03
137.2,6.692e+03,5.842e+02,5.232e+02,7.799e+03
138.7,4.941e+03,5.074e+02,3.991e+02,5.848e+03
140.3,4.002e+03,4.453e+02,3.546e+02,4.802e+03
141.8,3.147e+03,3.821e+02,3.333e+02,3.862e+03
143.3,3.058e+03,3.447e+02,3.213e+02,3.724e+03
