freq,psd_x,psd_y,psd_z,psd_xyz
0.0,3.042e+02,2.284e+03,1.454e+02,2.733e+03
1.5,9.020e+02,3.406e+03,5.630e+02,4.871e+03
3.0,1.005e+03,3.068e+03,7.015e+02,4.775e+03
4.5,1.088e+03,3.475e+03,7.855e+02,5.348e+03
6.0,9.879e+02,3.851e+03,9.169e+02,5.755e+03
7.5,9.704e+02,4.532e+03,1.018e+03,6.520e+03
9.0,8.681e+02,4.160e+03,1.070e+03,6.098e+03
10.6,7.996e+02,2.810e+03,1.055e+03,4.665e+03
12.1,8.411e+02,1.853e+03,1.106e+03,3.800e+03
13.6,7.865e+02,1.541e+03,9.368e+02,3.264e+03
15.1,7.682e+02,1.375e+03,8.916e+02,3.034e+03
16.6,9.921e+02,1.310e+03,8.239e+02,3.126e+03
18.1,1.050e+03,1.542e+03,9.001e+02,3.493e+03
19.6,1.082e+03,1.531e+04,8.210e+02,1.721e+04
21.1,1.168e+03,5.138e+04,8.126e+02,5.336e+04
22.6,1.576e+03,7.151e+04,7.647e+02,7.385e+04
24.1,1.938e+03,9.051e+04,7.599e+02,9.321e+04
25.6,1.644e+03,1.133e+05,6.873e+02,1.156e+05
27.1,2.561e+03,1.456e+05,7.505e+02,1.490e+05
28.6,3.320e+03,1.887e+05,8.653e+02,1.929e+05
30.2,3.717e+03,2.506e+05,1.018e+03,2.554e+05
31.7,4.236e+03,3.541e+05,1.265e+03,3.596e+05
33.2,6.426e+03,5.030e+05,1.876e+03,5.113e+05
34.7,1.191e+04,8.145e+05,3.237e+03,8.297e+05
36.2,3.455e+04,1.558e+06,7.604e+03,1.600e+06
37.7,1.622e+05,3.334e+06,2.246e+04,3.518e+06
39.2,4.128e+05,5.132e+06,4.437e+04,5.590e+06
40.7,5.204e+05,4.488e+06,5.422e+04,5.063e+06
42.2,5.205e+05,3.295e+06,6.002e+04,3.875e+06
43.7,4.864e+05,2.483e+06,6.045e+04,3.030e+06
45.2,4.022e+05,1.759e+06,5.369e+04,2.214e+06
46.7,2.913e+05,1.298e+06,4.781e+04,1.638e+06
48.2,1.979e+05,1.087e+06,4.357e+04,1.328e+06
49.8,1.290e+05,9.086e+05,4.134e+04,1.079e+06
51.3,7.339e+04,7.256e+05,4.651e+04,8.455e+05
52.8,3.637e+04,5.517e+05,5.715e+04,6.453e+05
54.3,2.078e+04,4.170e+05,6.729e+04,5.051e+05
55.8,1.645e+04,3.654e+05,5.937e+04,4.412e+05
57.3,1.313e+04,3.493e+05,3.274e+04,3.952e+05
58.8,9.457e+03,3.208e+05,1.258e+04,3.429e+05
60.3,7.666e+03,3.067e+05,4.466e+03,3.189e+05
61.8,5.423e+03,2.928e+05,4.585e+03,3.028e+05
63.3,2.752e+03,2.702e+05,7.589e+03,2.806e+05
64.8,1.264e+03,2.470e+05,1.062e+04,2.589e+05
66.3,1.136e+03,2.223e+05,1.327e+04,2.367e+05
67.8,1.408e+03,2.042e+05,1.612e+04,2.218e+05
69.3,1.769e+03,1.910e+05,1.931e+04,2.121e+05
70.9,2.249e+03,1.664e+05,2.235e+04,1.910e+05
72.4,2.464e+03,1.540e+05,2.791e+04,1.844e+05
73.9,2.933e+03,1.599e+05,3.666e+04,1.995e+05
75.4,3.827e+03,1.713e+05,4.922e+04,2.244e+05
76.9,4.743e+03,1.847e+05,6.844e+04,2.579e+05
78.4,5.484e+03,2.096e+05,1.036e+05,3.187e+05
79.9,6.440e+03,2.662e+05,1.872e+05,4.598e+05
81.4,7.456e+03,3.222e+05,3.242e+05,6.538e+05
82.9,6.362e+03,2.828e+05,3.763e+05,6.655e+05
84.4,4.416e+03,2.039e+05,3.558e+05,5.642e+05
85.9,4.511e+03,1.287e+05,3.172e+05,4.504e+05
87.4,5.869e+03,6.935e+04,2.640e+05,3.392e+05
88.9,7.183e+03,3.134e+04,2.017e+05,2.403e+05
90.5,7.076e+03,1.107e+04,1.393e+05,1.574e+05
92.0,5.133e+03,4.053e+03,9.286e+04,1.020e+05
93.5,4.156e+03,2.949e+03,6.637e+04,7.348e+04
95.0,4.410e+03,3.817e+03,5.120e+04,5.943e+04
96.5,5.275e+03,4.583e+03,4.007e+04,4.993e+04
98.0,4.483e+03,5.202e+03,2.762e+04,3.731e+04
99.5,4.309e+03,5.616e+03,1.959e+04,2.951e+04
101.0,4.643e+03,6.523e+03,1.718e+04,2.835e+04
102.5,5.313e+03,7.272e+03,1.583e+04,2.842e+04
104.0,5.988e+03,7.236e+03,1.542e+04,2.865e+04
105.5,6.933e+03,6.768e+03,1.529e+04,2.899e+04
107.0,8.148e+03,6.675e+03,1.495e+04,2.977e+04
108.5,9.362e+03,7.163e+03,1.454e+04,3.107e+04
110.1,1.059e+04,7.666e+03,1.404e+04,3.229e+04
111.6,1.315e+04,8.143e+03,1.378e+04,3.507e+04
113.1,1.792e+04,8.456e+03,1.371e+04,4.008e+04
114.6,2.405e+04,8.769e+03,1.395e+04,4.677e+04
116.1,2.686e+04,9.050e+03,1.397e+04,4.988e+04
117.6,2.793e+04,8.862e+03,1.400e+04,5.079e+04
119.1,2.209e+04,6.796e+03,1.115e+04,4.004e+04
120.6,8.002e+03,2.302e+03,3.491e+03,1.380e+04
122.1,4.770e+03,1.375e+03,1.984e+03,8.129e+03
123.6,4.975e+03,1.530e+03,2.472e+03,8.976e+03
125.1,4.447e+03,1.718e+03,3.095e+03,9.259e+03
126.6,4.496e+03,1.794e+03,3.733e+03,1.002e+04
128.1,5.694e+03,1.889e+03,4.385e+03,1.197e+04
129.7,6.097e+03,2.001e+03,4.652e+03,1.275e+04
131.2,6.177e+03,1.940e+03,4.473e+03,1.259e+04
132.7,6.079e+03,2.082e+03,3.932e+03,1.209e+04
134.2,5.702e+03,2.303e+03,3.483e+03,1.149e+04
135.7,6.020e+03,2.395e+03,2.634e+03,1.105e+04
137.2,5.660e+03,2.458e+03,1.902e+03,1.002e+04
138.7,4.472e+03,2.397e+03,1.369e+03,8.238e+03
140.2,4.099e+03,2.236e+03,1.274e+03,7.610e+03
141.7,3.386e+03,2.186e+03,1.252e+03,6.824e+03
143.2,3.311e+03,2.147e+03,1.376e+03,6.833e+03
144.7,3.761e+03,1.838e+03,1.430e+03,7.029e+03
